name,link,risk
Invesco India Smallcap Fund Direct Growth,https://groww.in/mutual-funds/invesco-india-smallcap-fund-direct-direct-growth,Very High Risk
SBI Infrastructure Fund Direct Growth,https://groww.in/mutual-funds/sbi-infrastructure-fund-direct-growth,Very High Risk
ICICI Prudential Multicap Fund Direct Plan Growth,https://groww.in/mutual-funds/icici-prudential-multicap-fund-direct-growth,Very High Risk
Sundaram Small Cap Fund Direct Growth,https://groww.in/mutual-funds/sundaram-smile-fund-direct-growth,Very High Risk
PGIM India ELSS Tax Saver Fund Direct Growth,https://groww.in/mutual-funds/pgim-india-elss-tax-saver-fund-direct-growth,Very High Risk
ICICI Prudential Focused Equity Fund Direct Growth,https://groww.in/mutual-funds/icici-prudential-select-large-cap-fund-direct-growth,Very High Risk
Aditya Birla Sun Life International Equity Fund Plan A Direct Growth,https://groww.in/mutual-funds/birla-sun-life-international-equity-fund-plan-a-direct-growth,Very High Risk
Principal Large Cap Fund Direct Growth,https://groww.in/mutual-funds/principal-large-cap-fund-direct-growth,Very High Risk
Bank of India Large & Mid Cap Equity Fund Direct Growth,https://groww.in/mutual-funds/boi-axa-equity-fund-direct-growth,Very High Risk
Aditya Birla Sun Life ESG Fund Direct Growth,https://groww.in/mutual-funds/aditya-birla-sun-life-esg-fund-direct-growth,Very High Risk
UTI MNC Fund Direct Growth,https://groww.in/mutual-funds/uti-mnc-fund-direct-growth,Very High Risk
Sundaram Infrastructure Advantage Fund Direct Growth,https://groww.in/mutual-funds/sundaram-infrastructure-advantage-fund-direct-growth,Very High Risk
UTI Banking and Financial Services Fund Direct Plan Growth,https://groww.in/mutual-funds/uti-banking-sector-fund-direct-growth,Very High Risk
IDBI Banking & Financial Services Fund Direct Growth,https://groww.in/mutual-funds/idbi-banking-financial-services-fund-direct-growth,Very High Risk
ICICI Prudential ESG Fund Direct Growth,https://groww.in/mutual-funds/icici-prudential-esg-fund-direct-growth,Very High Risk
ITI Multi Cap Fund Direct Growth,https://groww.in/mutual-funds/iti-multi-cap-fund-direct-growth,Moderately High Risk
JM Tax Gain Direct Plan Growth,https://groww.in/mutual-funds/jm-tax-gain-fund-direct-growth,Very High Risk
Shriram Flexi Cap Fund Direct Growth,https://groww.in/mutual-funds/shriram-multicap-fund-direct-growth,Very High Risk
UTI Core Equity Fund Direct Growth,https://groww.in/mutual-funds/uti-top-100-fund-direct-growth,Very High Risk
DSP Quant Fund Direct Growth,https://groww.in/mutual-funds/dsp-quant-fund-direct-growth,High Risk
Invesco India Focused 20 Equity Fund Direct Growth,https://groww.in/mutual-funds/invesco-india-focused-20-equity-fund-direct-growth,Very High Risk
Nippon India Focused Equity Fund Direct Growth,https://groww.in/mutual-funds/nippon-india-focused-equity-fund-direct-growth,Very High Risk
Baroda BNP Paribas Multi Cap Fund Direct Growth,https://groww.in/mutual-funds/baroda-bnp-paribas-multi-cap-fund-direct-growth,Very High Risk
Baroda BNP Paribas Large Cap Fund Direct Growth,https://groww.in/mutual-funds/baroda-bnp-paribas-large-cap-fund-direct-growth,Very High Risk
ICICI Prudential Pharma Healthcare And Diagnostics (P.H.D) Fund Direct Growth,https://groww.in/mutual-funds/icici-prudential-pharma-healthcare-and-diagnostics-fund-direct-growth,Very High Risk
Franklin Build India Direct Fund Growth,https://groww.in/mutual-funds/franklin-build-india-fund-direct-growth,Very High Risk
ICICI Prudential PSU Equity Fund Direct Growth,https://groww.in/mutual-funds/icici-prudential-psu-equity-fund-direct-growth,Very High Risk
Mahindra Manulife Small Cap Fund Direct Growth,https://groww.in/mutual-funds/mahindra-manulife-small-cap-fund-direct-growth,Very High Risk
Sundaram Flexi Cap Fund Direct Growth,https://groww.in/mutual-funds/sundaram-flexi-cap-fund-direct-growth,Very High Risk
ICICI Prudential Housing Opportunities Fund Direct Growth,https://groww.in/mutual-funds/icici-prudential-housing-opportunities-fund-direct-growth,Very High Risk
Aditya Birla Sun Life Frontline Equity Direct Fund Growth,https://groww.in/mutual-funds/birla-sun-life-frontline-equity-fund-direct-growth,Very High Risk
Franklin India Taxshield Direct Growth,https://groww.in/mutual-funds/franklin-india-taxshield-direct-growth,Very High Risk
Canara Robeco Consumer Trends Fund Direct Growth,https://groww.in/mutual-funds/canara-robeco-force-fund-direct-growth,Very High Risk
Tata Business Cycle Fund Direct Growth,https://groww.in/mutual-funds/tata-business-cycle-fund-direct-growth,Very High Risk
Tata Flexi Cap Fund Direct Growth,https://groww.in/mutual-funds/tata-flexicap-fund-direct-growth,Very High Risk
IDBI India Top 100 Equity Fund Direct Growth,https://groww.in/mutual-funds/idbi-india-top-100-equity-fund-direct-growth,Very High Risk
HSBC Tax Saver Equity Fund Direct Growth,https://groww.in/mutual-funds/hsbc-tax-saver-equity-fund-direct-growth,Very High Risk
Reliance Focused Large Cap Fund Direct Growth,https://groww.in/mutual-funds/reliance-focused-large-cap-fund-direct-growth,Moderately High Risk
Tata Quant Fund Direct Growth,https://groww.in/mutual-funds/tata-quant-fund-direct-growth,Very High Risk
Union Value Discovery Fund Direct Growth,https://groww.in/mutual-funds/union-value-discovery-fund-direct-growth,Very High Risk
Franklin India Opportunities Direct Fund Growth,https://groww.in/mutual-funds/franklin-india-opportunities-fund-direct-growth,Very High Risk
HSBC Mid Cap Fund Direct Growth,https://groww.in/mutual-funds/hsbc-mid-cap-fund-direct-growth,Very High Risk
Invesco India Financial Services Fund Direct Growth,https://groww.in/mutual-funds/invesco-india-banking-fund-direct-growth,Very High Risk
Baroda Equity Linked Saving Scheme 96 Direct Growth,https://groww.in/mutual-funds/baroda-pioneer-elss-96-plan-b-direct-growth,Very High Risk
Franklin Asian Equity Direct Fund Growth,https://groww.in/mutual-funds/franklin-asian-equity-fund-direct-growth,Very High Risk
Taurus Banking & Financial Services Fund Direct Growth,https://groww.in/mutual-funds/taurus-banking-financial-services-fund-direct-growth,Very High Risk
Bandhan Focused Equity Fund Direct Growth,https://groww.in/mutual-funds/idfc-imperial-equity-fund-direct-growth,Very High Risk
Mahindra Manulife Consumption Fund Direct Growth,https://groww.in/mutual-funds/mahindra-rural-bharat-and-consumption-yojana-direct-growth,Very High Risk
UTI India Consumer Fund Direct Growth,https://groww.in/mutual-funds/uti-india-lifestyle-fund-direct-growth,Very High Risk
Aditya Birla Sun Life Commodity Equities Fund Global Agri Plan Direct Growth,https://groww.in/mutual-funds/birla-sun-life-commodity-equities-fund-ga-direct-growth,Very High Risk
Sundaram Equity Fund Direct Growth,https://groww.in/mutual-funds/sundaram-equity-fund-direct-growth,Very High Risk
HDFC Business Cycle Fund Direct Growth,https://groww.in/mutual-funds/hdfc-business-cycle-fund-direct-growth,Very High Risk
DSP Midcap Direct Plan Growth,https://groww.in/mutual-funds/dsp-blackrock-small-and-midcap-fund-direct-growth,Very High Risk
UTI Mastershare Direct Growth,https://groww.in/mutual-funds/uti-unit-scheme-1986-mastershare-direct-growth,Very High Risk
Bandhan Sterling Value Fund Direct Plan Growth,https://groww.in/mutual-funds/idfc-sterling-equity-fund-direct-growth,Very High Risk
UTI Mid Cap Fund Direct Growth,https://groww.in/mutual-funds/uti-mid-cap-fund-direct-growth,Very High Risk
HDFC MNC Fund Direct Growth,https://groww.in/mutual-funds/hdfc-mnc-fund-direct-growth,Very High Risk
Kotak Infrastructure and Economic Reform Fund Direct Growth,https://groww.in/mutual-funds/kotak-infrastructure-economic-reform-fund-direct-growth,Very High Risk
Tata India Pharma & HealthCare Fund Direct Growth,https://groww.in/mutual-funds/tata-india-pharma-and-healthcare-fund-direct-growth,Very High Risk
DSP Natural Resources and New Energy Fund Direct Plan Growth,https://groww.in/mutual-funds/dsp-blackrock-natural-resources-new-energy-fund-direct-growth,Very High Risk
Edelweiss Mid Cap Direct Plan Growth,https://groww.in/mutual-funds/edelweiss-mid-and-small-cap-fund-direct-growth,Very High Risk
Sundaram Financial Services Opportunities Fund Direct Growth,https://groww.in/mutual-funds/sundaram-financial-services-opportunities-fund-direct-growth,Very High Risk
Kotak Multicap Fund Direct Growth,https://groww.in/mutual-funds/kotak-multicap-fund-direct-growth,Very High Risk
Franklin India Smaller Companies Direct Fund Growth,https://groww.in/mutual-funds/franklin-india-smaller-companies-fund-direct-growth,Very High Risk
Quant Focused Fund Direct Growth,https://groww.in/mutual-funds/quant-focused-fund-direct-growth,Very High Risk
Motilal Oswal Long Term Equity Fund Direct Growth,https://groww.in/mutual-funds/motilal-oswal-most-focused-long-term-fund-direct-growth,Very High Risk
PGIM India Large Cap Fund Direct Plan Growth,https://groww.in/mutual-funds/pgim-india-large-cap-fund-direct-plan-growth,Very High Risk
Bandhan Infrastructure Fund Direct Plan Growth,https://groww.in/mutual-funds/idfc-infrastructure-fund-direct-growth,Very High Risk
SBI Equity Minimum Variance Fund Direct Growth,https://groww.in/mutual-funds/sbi-equity-minimum-variance-fund-direct-growth,Very High Risk
ICICI Prudential Manufacturing Fund Direct Growth,https://groww.in/mutual-funds/icici-prudential-manufacture-in-india-fund-direct-growth,Very High Risk
ITI Pharma and Healthcare Fund Direct Growth,https://groww.in/mutual-funds/iti-pharma-and-healthcare-fund-direct-growth,Very High Risk
ITI Flexi Cap Fund Direct Growth,https://groww.in/mutual-funds/iti-flexi-cap-fund-direct-growth,Very High Risk
IIFL Quant Fund Direct Growth,https://groww.in/mutual-funds/iifl-quant-fund-direct-growth,Very High Risk
Invesco India Growth Opportunities Fund Direct Growth,https://groww.in/mutual-funds/invesco-india-growth-fund-direct-growth,Very High Risk
DSP Equity Opportunities Direct Plan Growth,https://groww.in/mutual-funds/dsp-blackrock-opportunities-fund-direct-growth,Very High Risk
HSBC Small Cap Equity Fund Direct Growth,https://groww.in/mutual-funds/hsbc-midcap-equity-fund-direct-growth,Very High Risk
