Name,Sector,Instrument,Assets(Rs_Cr.),funds_name
Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,53707.642,Axis Long Term Equity Direct Plan Growth
Sundaram Finance Ltd.,Financial,Equity,50880.924,Axis Long Term Equity Direct Plan Growth
Astral Ltd.,Chemicals,Equity,48054.206,Axis Long Term Equity Direct Plan Growth
Tube Investments Of India Ltd.,Automobile,Equity,45227.488000000005,Axis Long Term Equity Direct Plan Growth
Coforge Ltd.,Technology,Equity,39574.052,Axis Long Term Equity Direct Plan Growth
Motherson Sumi Wiring India Ltd.,Automobile,Equity,33920.616,Axis Long Term Equity Direct Plan Growth
Sona BLW Precision Forgings Ltd.,Automobile,Equity,28267.18,Axis Long Term Equity Direct Plan Growth
Tata Motors Ltd.,Automobile,Equity,14133.59,Axis Long Term Equity Direct Plan Growth
Navin Fluorine International Ltd.,Chemicals,Equity,14133.59,Axis Long Term Equity Direct Plan Growth
Mas Financial Services Ltd.,Financial,Equity,11306.872,Axis Long Term Equity Direct Plan Growth
Clean Science And Technology Ltd.,Chemicals,Equity,11306.872,Axis Long Term Equity Direct Plan Growth
Go Fashion (India) Ltd.,Services,Equity,5653.436000000001,Axis Long Term Equity Direct Plan Growth
TTK Prestige Ltd.,Consumer Discretionary,Equity,5653.436000000001,Axis Long Term Equity Direct Plan Growth
HDFC Bank Ltd.,Financial,Equity,94744.608,Mirae Asset Focused Fund Direct Growth
Infosys Ltd.,Technology,Equity,72750.324,Mirae Asset Focused Fund Direct Growth
Reliance Industries Ltd.,Energy,Equity,52447.908,Mirae Asset Focused Fund Direct Growth
Bharti Airtel Ltd.,Communication,Equity,38067.03,Mirae Asset Focused Fund Direct Growth
Maruti Suzuki India Ltd.,Automobile,Equity,30453.624,Mirae Asset Focused Fund Direct Growth
Orient Electric Ltd.,Consumer Discretionary,Equity,28761.756,Mirae Asset Focused Fund Direct Growth
Syngene International Ltd.,Healthcare,Equity,27069.888000000003,Mirae Asset Focused Fund Direct Growth
Sapphire Foods India Ltd.,Services,Equity,27069.888000000003,Mirae Asset Focused Fund Direct Growth
Sona BLW Precision Forgings Ltd.,Automobile,Equity,26223.954,Mirae Asset Focused Fund Direct Growth
Ashok Leyland Ltd.,Automobile,Equity,25378.02,Mirae Asset Focused Fund Direct Growth
State Bank of India,Financial,Equity,24532.086,Mirae Asset Focused Fund Direct Growth
One97 Communications Ltd.,Services,Equity,23686.152,Mirae Asset Focused Fund Direct Growth
SKF India Ltd.,Capital Goods,Equity,22840.218,Mirae Asset Focused Fund Direct Growth
JK Cement Ltd.,Construction,Equity,21994.284,Mirae Asset Focused Fund Direct Growth
Max Financial Services Ltd.,Financial,Equity,20302.416,Mirae Asset Focused Fund Direct Growth
Gujarat State Petronet Ltd.,Energy,Equity,20302.416,Mirae Asset Focused Fund Direct Growth
Indian Energy Exchange Ltd.,Services,Equity,17764.614,Mirae Asset Focused Fund Direct Growth
