Unnamed: 0,Name,Sector,Instrument,Assets(Rs_Cr.),funds_name
1932,Indusind Bank Ltd.,Financial,Equity,6766.829999999999,Sundaram Large and Mid Cap Fund Direct Growth
1936,Hindalco Industries Ltd.,Metals & Mining,Equity,6766.829999999999,Sundaram Large and Mid Cap Fund Direct Growth
1937,Ultratech Cement Ltd.,Construction,Equity,6766.829999999999,Sundaram Large and Mid Cap Fund Direct Growth
1944,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,6283.485,Sundaram Large and Mid Cap Fund Direct Growth
1947,The Federal Bank Ltd.,Financial,Equity,5800.139999999999,Sundaram Large and Mid Cap Fund Direct Growth
1948,Cummins India Ltd.,Capital Goods,Equity,5316.795,Sundaram Large and Mid Cap Fund Direct Growth
1955,Bank Of Baroda,Financial,Equity,4833.45,Sundaram Large and Mid Cap Fund Direct Growth
1960,Fortis Healthcare Ltd.,Healthcare,Equity,4350.105,Sundaram Large and Mid Cap Fund Direct Growth
1962,Jubilant FoodWorks Ltd.,Services,Equity,4350.105,Sundaram Large and Mid Cap Fund Direct Growth
1968,Maruti Suzuki India Ltd.,Automobile,Equity,3866.76,Sundaram Large and Mid Cap Fund Direct Growth
1970,NTPC Ltd.,Energy,Equity,3866.76,Sundaram Large and Mid Cap Fund Direct Growth
1976,Max Financial Services Ltd.,Financial,Equity,3383.4149999999995,Sundaram Large and Mid Cap Fund Direct Growth
1977,Dixon Technologies (India) Ltd.,Capital Goods,Equity,3383.4149999999995,Sundaram Large and Mid Cap Fund Direct Growth
1984,Bharat Forge Ltd.,Automobile,Equity,1933.38,Sundaram Large and Mid Cap Fund Direct Growth
1988,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,7540.544000000001,Aditya Birla Sun Life Pharma & Healthcare Fund Direct Growth
1991,Lupin Ltd.,Healthcare,Equity,2185.044,Aditya Birla Sun Life Pharma & Healthcare Fund Direct Growth
1992,Fortis Healthcare Ltd.,Healthcare,Equity,2099.356,Aditya Birla Sun Life Pharma & Healthcare Fund Direct Growth
1995,Alkem Laboratories Ltd.,Healthcare,Equity,1670.916,Aditya Birla Sun Life Pharma & Healthcare Fund Direct Growth
2016,Syngene International Ltd.,Healthcare,Equity,428.44,Aditya Birla Sun Life Pharma & Healthcare Fund Direct Growth
2019,HDFC Bank Ltd.,Financial,Equity,20102.874,Kotak Focused Equity Fund Direct Growth
2021,Infosys Ltd.,Technology,Equity,15199.734000000002,Kotak Focused Equity Fund Direct Growth
2023,Reliance Industries Ltd.,Energy,Equity,11277.222,Kotak Focused Equity Fund Direct Growth
2025,State Bank of India,Financial,Equity,10541.751,Kotak Focused Equity Fund Direct Growth
2026,Maruti Suzuki India Ltd.,Automobile,Equity,10051.437,Kotak Focused Equity Fund Direct Growth
2027,Ultratech Cement Ltd.,Construction,Equity,9070.809,Kotak Focused Equity Fund Direct Growth
2028,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,8090.181,Kotak Focused Equity Fund Direct Growth
2031,Bharat Electronics Ltd.,Capital Goods,Equity,7354.710000000001,Kotak Focused Equity Fund Direct Growth
2032,Bharat Forge Ltd.,Automobile,Equity,7109.553,Kotak Focused Equity Fund Direct Growth
2033,Alkem Laboratories Ltd.,Healthcare,Equity,7109.553,Kotak Focused Equity Fund Direct Growth
2042,Hero Motocorp Ltd.,Automobile,Equity,4657.983,Kotak Focused Equity Fund Direct Growth
2052,Infosys Ltd.,Technology,Equity,49176.8,ICICI Prudential Long Term Equity Fund (Tax Saving) Direct Plan Growth
2055,HDFC Bank Ltd.,Financial,Equity,47209.728,ICICI Prudential Long Term Equity Fund (Tax Saving) Direct Plan Growth
2056,Maruti Suzuki India Ltd.,Automobile,Equity,46226.192,ICICI Prudential Long Term Equity Fund (Tax Saving) Direct Plan Growth
2058,Reliance Industries Ltd.,Energy,Equity,34423.76,ICICI Prudential Long Term Equity Fund (Tax Saving) Direct Plan Growth
2060,State Bank of India,Financial,Equity,26555.472,ICICI Prudential Long Term Equity Fund (Tax Saving) Direct Plan Growth
2061,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,24588.4,ICICI Prudential Long Term Equity Fund (Tax Saving) Direct Plan Growth
2062,SBI Life Insurance Company Ltd.,Insurance,Equity,24588.4,ICICI Prudential Long Term Equity Fund (Tax Saving) Direct Plan Growth
2063,ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,20654.256,ICICI Prudential Long Term Equity Fund (Tax Saving) Direct Plan Growth
2065,Housing Development Finance Corporation Ltd.,Financial,Equity,19670.72,ICICI Prudential Long Term Equity Fund (Tax Saving) Direct Plan Growth
2066,Syngene International Ltd.,Healthcare,Equity,18687.184,ICICI Prudential Long Term Equity Fund (Tax Saving) Direct Plan Growth
