0,1,2,3
kotak-midcap-fund-direct-growth,The India Cements Ltd.,Construction,3.4
kotak-midcap-fund-direct-growth,Indiabulls Real Estate Ltd.,Construction,3.2
kotak-midcap-fund-direct-growth,Hindustan Copper Ltd.,Metals & Mining,3.1
kotak-midcap-fund-direct-growth,National Aluminium Company Ltd.,Metals & Mining,2.9
quant-active-fund-direct-growth,ITC Ltd.,Consumer Staples,5.9
quant-active-fund-direct-growth,IRB Infrastructure Developers Ltd.,Construction,4.6
quant-active-fund-direct-growth,Linde India Ltd.,Chemicals,4.2
quant-active-fund-direct-growth,TV18 Broadcast Ltd.,Services,4.1
quant-active-fund-direct-growth,Arvind Ltd.,Textiles,3.9
quant-active-fund-direct-growth,HFCL Ltd.,Communication,3.5
quant-active-fund-direct-growth,The India Cements Ltd.,Construction,3.4
quant-active-fund-direct-growth,Indiabulls Real Estate Ltd.,Construction,3.2
quant-active-fund-direct-growth,Hindustan Copper Ltd.,Metals & Mining,3.1
quant-active-fund-direct-growth,National Aluminium Company Ltd.,Metals & Mining,2.9
birla-sun-life-new-millennium-direct-growth,ITC Ltd.,Consumer Staples,5.9
birla-sun-life-new-millennium-direct-growth,IRB Infrastructure Developers Ltd.,Construction,4.6
birla-sun-life-new-millennium-direct-growth,Linde India Ltd.,Chemicals,4.2
birla-sun-life-new-millennium-direct-growth,TV18 Broadcast Ltd.,Services,4.1
birla-sun-life-new-millennium-direct-growth,Arvind Ltd.,Textiles,3.9
birla-sun-life-new-millennium-direct-growth,HFCL Ltd.,Communication,3.5
birla-sun-life-new-millennium-direct-growth,The India Cements Ltd.,Construction,3.4
birla-sun-life-new-millennium-direct-growth,Indiabulls Real Estate Ltd.,Construction,3.2
birla-sun-life-new-millennium-direct-growth,Hindustan Copper Ltd.,Metals & Mining,3.1
birla-sun-life-new-millennium-direct-growth,National Aluminium Company Ltd.,Metals & Mining,2.9
quant-flexi-cap-fund-direct-growth,ITC Ltd.,Consumer Staples,5.9
quant-flexi-cap-fund-direct-growth,IRB Infrastructure Developers Ltd.,Construction,4.6
quant-flexi-cap-fund-direct-growth,Linde India Ltd.,Chemicals,4.2
quant-flexi-cap-fund-direct-growth,TV18 Broadcast Ltd.,Services,4.1
quant-flexi-cap-fund-direct-growth,Arvind Ltd.,Textiles,3.9
quant-flexi-cap-fund-direct-growth,HFCL Ltd.,Communication,3.5
quant-flexi-cap-fund-direct-growth,The India Cements Ltd.,Construction,3.4
quant-flexi-cap-fund-direct-growth,Indiabulls Real Estate Ltd.,Construction,3.2
