0,1,2,3
nippon-india-quant-fund-retail-direct-growth,Reliance Industries Ltd.,Energy,6.8
nippon-india-quant-fund-retail-direct-growth,Infosys Ltd.,Technology,6.4
nippon-india-quant-fund-retail-direct-growth,HDFC Bank Ltd.,Financial,5.4
nippon-india-quant-fund-retail-direct-growth,Tata Consultancy Services Ltd.,Technology,5.0
nippon-india-quant-fund-retail-direct-growth,ITC Ltd.,Consumer Staples,3.8
nippon-india-quant-fund-retail-direct-growth,HCL Technologies Ltd.,Technology,2.9
nippon-india-quant-fund-retail-direct-growth,Ambuja Cements Ltd.,Construction,2.8
nippon-india-quant-fund-retail-direct-growth,Greenpanel Industries Ltd.,Consumer Staples,2.6
nippon-india-quant-fund-retail-direct-growth,SBI Cards & Payments Services Ltd.,Financial,2.4
hsbc-tax-saver-equity-fund-direct-growth,ICICI Bank Ltd.,Financial,8.6
hsbc-tax-saver-equity-fund-direct-growth,Reliance Industries Ltd.,Energy,6.8
hsbc-tax-saver-equity-fund-direct-growth,Infosys Ltd.,Technology,6.4
hsbc-tax-saver-equity-fund-direct-growth,HDFC Bank Ltd.,Financial,5.4
hsbc-tax-saver-equity-fund-direct-growth,Tata Consultancy Services Ltd.,Technology,5.0
hsbc-tax-saver-equity-fund-direct-growth,ITC Ltd.,Consumer Staples,3.8
hsbc-tax-saver-equity-fund-direct-growth,HCL Technologies Ltd.,Technology,2.9
hsbc-tax-saver-equity-fund-direct-growth,Ambuja Cements Ltd.,Construction,2.8
hsbc-tax-saver-equity-fund-direct-growth,Greenpanel Industries Ltd.,Consumer Staples,2.6
hsbc-tax-saver-equity-fund-direct-growth,SBI Cards & Payments Services Ltd.,Financial,2.4
birla-sun-life-advantage-fund-direct-growth,ICICI Bank Ltd.,Financial,8.6
birla-sun-life-advantage-fund-direct-growth,Reliance Industries Ltd.,Energy,6.8
birla-sun-life-advantage-fund-direct-growth,Infosys Ltd.,Technology,6.4
birla-sun-life-advantage-fund-direct-growth,HDFC Bank Ltd.,Financial,5.4
birla-sun-life-advantage-fund-direct-growth,Tata Consultancy Services Ltd.,Technology,5.0
birla-sun-life-advantage-fund-direct-growth,ITC Ltd.,Consumer Staples,3.8
birla-sun-life-advantage-fund-direct-growth,HCL Technologies Ltd.,Technology,2.9
birla-sun-life-advantage-fund-direct-growth,Ambuja Cements Ltd.,Construction,2.8
birla-sun-life-advantage-fund-direct-growth,Greenpanel Industries Ltd.,Consumer Staples,2.6
birla-sun-life-advantage-fund-direct-growth,SBI Cards & Payments Services Ltd.,Financial,2.4
franklin-india-prima-fund-direct-growth,ICICI Bank Ltd.,Financial,8.6
franklin-india-prima-fund-direct-growth,Reliance Industries Ltd.,Energy,6.8
franklin-india-prima-fund-direct-growth,Infosys Ltd.,Technology,6.4
franklin-india-prima-fund-direct-growth,HDFC Bank Ltd.,Financial,5.4
franklin-india-prima-fund-direct-growth,Tata Consultancy Services Ltd.,Technology,5.0
franklin-india-prima-fund-direct-growth,ITC Ltd.,Consumer Staples,3.8
franklin-india-prima-fund-direct-growth,HCL Technologies Ltd.,Technology,2.9
franklin-india-prima-fund-direct-growth,Ambuja Cements Ltd.,Construction,2.8
franklin-india-prima-fund-direct-growth,Greenpanel Industries Ltd.,Consumer Staples,2.6
franklin-india-prima-fund-direct-growth,SBI Cards & Payments Services Ltd.,Financial,2.4
uti-transportation-and-logistics-fund-direct-growth,ICICI Bank Ltd.,Financial,8.6
uti-transportation-and-logistics-fund-direct-growth,Reliance Industries Ltd.,Energy,6.8
uti-transportation-and-logistics-fund-direct-growth,Infosys Ltd.,Technology,6.4
uti-transportation-and-logistics-fund-direct-growth,HDFC Bank Ltd.,Financial,5.4
uti-transportation-and-logistics-fund-direct-growth,Tata Consultancy Services Ltd.,Technology,5.0
uti-transportation-and-logistics-fund-direct-growth,ITC Ltd.,Consumer Staples,3.8
uti-transportation-and-logistics-fund-direct-growth,HCL Technologies Ltd.,Technology,2.9
uti-transportation-and-logistics-fund-direct-growth,Ambuja Cements Ltd.,Construction,2.8
uti-transportation-and-logistics-fund-direct-growth,Greenpanel Industries Ltd.,Consumer Staples,2.6
uti-transportation-and-logistics-fund-direct-growth,SBI Cards & Payments Services Ltd.,Financial,2.4
birla-sun-life-manufacturing-equity-fund-direct-growth,ICICI Bank Ltd.,Financial,8.6
birla-sun-life-manufacturing-equity-fund-direct-growth,Reliance Industries Ltd.,Energy,6.8
birla-sun-life-manufacturing-equity-fund-direct-growth,Infosys Ltd.,Technology,6.4
birla-sun-life-manufacturing-equity-fund-direct-growth,HDFC Bank Ltd.,Financial,5.4
birla-sun-life-manufacturing-equity-fund-direct-growth,Tata Consultancy Services Ltd.,Technology,5.0
birla-sun-life-manufacturing-equity-fund-direct-growth,ITC Ltd.,Consumer Staples,3.8
birla-sun-life-manufacturing-equity-fund-direct-growth,HCL Technologies Ltd.,Technology,2.9
birla-sun-life-manufacturing-equity-fund-direct-growth,Ambuja Cements Ltd.,Construction,2.8
birla-sun-life-manufacturing-equity-fund-direct-growth,Greenpanel Industries Ltd.,Consumer Staples,2.6
birla-sun-life-manufacturing-equity-fund-direct-growth,SBI Cards & Payments Services Ltd.,Financial,2.4
uti-india-lifestyle-fund-direct-growth,ICICI Bank Ltd.,Financial,8.6
uti-india-lifestyle-fund-direct-growth,Reliance Industries Ltd.,Energy,6.8
uti-india-lifestyle-fund-direct-growth,Infosys Ltd.,Technology,6.4
uti-india-lifestyle-fund-direct-growth,HDFC Bank Ltd.,Financial,5.4
uti-india-lifestyle-fund-direct-growth,Tata Consultancy Services Ltd.,Technology,5.0
uti-india-lifestyle-fund-direct-growth,ITC Ltd.,Consumer Staples,3.8
uti-india-lifestyle-fund-direct-growth,HCL Technologies Ltd.,Technology,2.9
uti-india-lifestyle-fund-direct-growth,Ambuja Cements Ltd.,Construction,2.8
uti-india-lifestyle-fund-direct-growth,Greenpanel Industries Ltd.,Consumer Staples,2.6
uti-india-lifestyle-fund-direct-growth,SBI Cards & Payments Services Ltd.,Financial,2.4
shriram-long-term-equity-fund-direct-growth,ICICI Bank Ltd.,Financial,8.6
shriram-long-term-equity-fund-direct-growth,Reliance Industries Ltd.,Energy,6.8
shriram-long-term-equity-fund-direct-growth,Infosys Ltd.,Technology,6.4
shriram-long-term-equity-fund-direct-growth,HDFC Bank Ltd.,Financial,5.4
shriram-long-term-equity-fund-direct-growth,Tata Consultancy Services Ltd.,Technology,5.0
shriram-long-term-equity-fund-direct-growth,ITC Ltd.,Consumer Staples,3.8
shriram-long-term-equity-fund-direct-growth,HCL Technologies Ltd.,Technology,2.9
shriram-long-term-equity-fund-direct-growth,Ambuja Cements Ltd.,Construction,2.8
shriram-long-term-equity-fund-direct-growth,Greenpanel Industries Ltd.,Consumer Staples,2.6
shriram-long-term-equity-fund-direct-growth,SBI Cards & Payments Services Ltd.,Financial,2.4
birla-sun-life-international-equity-fund-plan-a-direct-growth,ICICI Bank Ltd.,Financial,8.6
birla-sun-life-international-equity-fund-plan-a-direct-growth,Reliance Industries Ltd.,Energy,6.8
birla-sun-life-international-equity-fund-plan-a-direct-growth,Infosys Ltd.,Technology,6.4
birla-sun-life-international-equity-fund-plan-a-direct-growth,HDFC Bank Ltd.,Financial,5.4
birla-sun-life-international-equity-fund-plan-a-direct-growth,Tata Consultancy Services Ltd.,Technology,5.0
birla-sun-life-international-equity-fund-plan-a-direct-growth,ITC Ltd.,Consumer Staples,3.8
birla-sun-life-international-equity-fund-plan-a-direct-growth,HCL Technologies Ltd.,Technology,2.9
birla-sun-life-international-equity-fund-plan-a-direct-growth,Ambuja Cements Ltd.,Construction,2.8
birla-sun-life-international-equity-fund-plan-a-direct-growth,Greenpanel Industries Ltd.,Consumer Staples,2.6
birla-sun-life-international-equity-fund-plan-a-direct-growth,SBI Cards & Payments Services Ltd.,Financial,2.4
navi-flexi-cap-fund-direct-growth,Reliance Industries Ltd.,Energy,8.7
navi-flexi-cap-fund-direct-growth,ICICI Bank Ltd.,Financial,7.8
navi-flexi-cap-fund-direct-growth,Infosys Ltd.,Technology,6.2
navi-flexi-cap-fund-direct-growth,Axis Bank Ltd.,Financial,3.8
navi-flexi-cap-fund-direct-growth,Divi's Laboratories Ltd.,Healthcare,3.6
navi-flexi-cap-fund-direct-growth,Tata Consultancy Services Ltd.,Technology,3.0
navi-flexi-cap-fund-direct-growth,Bajaj Finance Ltd.,Financial,2.9
navi-flexi-cap-fund-direct-growth,Indusind Bank Ltd.,Financial,2.8
navi-flexi-cap-fund-direct-growth,Tata Steel Ltd.,Metals & Mining,2.6
navi-flexi-cap-fund-direct-growth,Housing Development Finance Corpn. Ltd.,Financial,2.5
birla-sun-life-top-100-fund-direct-growth,Reliance Industries Ltd.,Energy,8.7
birla-sun-life-top-100-fund-direct-growth,ICICI Bank Ltd.,Financial,7.8
birla-sun-life-top-100-fund-direct-growth,Infosys Ltd.,Technology,6.2
birla-sun-life-top-100-fund-direct-growth,Axis Bank Ltd.,Financial,3.8
birla-sun-life-top-100-fund-direct-growth,Divi's Laboratories Ltd.,Healthcare,3.6
birla-sun-life-top-100-fund-direct-growth,Tata Consultancy Services Ltd.,Technology,3.0
birla-sun-life-top-100-fund-direct-growth,Bajaj Finance Ltd.,Financial,2.9
birla-sun-life-top-100-fund-direct-growth,Indusind Bank Ltd.,Financial,2.8
birla-sun-life-top-100-fund-direct-growth,Tata Steel Ltd.,Metals & Mining,2.6
birla-sun-life-top-100-fund-direct-growth,Housing Development Finance Corpn. Ltd.,Financial,2.5
idbi-long-term-value-fund-direct-growth,Reliance Industries Ltd.,Energy,8.7
idbi-long-term-value-fund-direct-growth,ICICI Bank Ltd.,Financial,7.8
idbi-long-term-value-fund-direct-growth,Infosys Ltd.,Technology,6.2
idbi-long-term-value-fund-direct-growth,Axis Bank Ltd.,Financial,3.8
idbi-long-term-value-fund-direct-growth,Divi's Laboratories Ltd.,Healthcare,3.6
idbi-long-term-value-fund-direct-growth,Tata Consultancy Services Ltd.,Technology,3.0
idbi-long-term-value-fund-direct-growth,Bajaj Finance Ltd.,Financial,2.9
idbi-long-term-value-fund-direct-growth,Indusind Bank Ltd.,Financial,2.8
idbi-long-term-value-fund-direct-growth,Tata Steel Ltd.,Metals & Mining,2.6
idbi-long-term-value-fund-direct-growth,Housing Development Finance Corpn. Ltd.,Financial,2.5
tata-equity-pe-fund-direct-growth,Reliance Industries Ltd.,Energy,8.7
tata-equity-pe-fund-direct-growth,ICICI Bank Ltd.,Financial,7.8
tata-equity-pe-fund-direct-growth,Infosys Ltd.,Technology,6.2
tata-equity-pe-fund-direct-growth,Axis Bank Ltd.,Financial,3.8
tata-equity-pe-fund-direct-growth,Divi's Laboratories Ltd.,Healthcare,3.6
tata-equity-pe-fund-direct-growth,Tata Consultancy Services Ltd.,Technology,3.0
tata-equity-pe-fund-direct-growth,Bajaj Finance Ltd.,Financial,2.9
tata-equity-pe-fund-direct-growth,Indusind Bank Ltd.,Financial,2.8
tata-equity-pe-fund-direct-growth,Tata Steel Ltd.,Metals & Mining,2.6
tata-equity-pe-fund-direct-growth,Housing Development Finance Corpn. Ltd.,Financial,2.5
invesco-india-growth-fund-direct-growth,Reliance Industries Ltd.,Energy,8.7
invesco-india-growth-fund-direct-growth,ICICI Bank Ltd.,Financial,7.8
invesco-india-growth-fund-direct-growth,Infosys Ltd.,Technology,6.2
invesco-india-growth-fund-direct-growth,Axis Bank Ltd.,Financial,3.8
invesco-india-growth-fund-direct-growth,Divi's Laboratories Ltd.,Healthcare,3.6
invesco-india-growth-fund-direct-growth,Tata Consultancy Services Ltd.,Technology,3.0
invesco-india-growth-fund-direct-growth,Bajaj Finance Ltd.,Financial,2.9
invesco-india-growth-fund-direct-growth,Indusind Bank Ltd.,Financial,2.8
invesco-india-growth-fund-direct-growth,Tata Steel Ltd.,Metals & Mining,2.6
invesco-india-growth-fund-direct-growth,Housing Development Finance Corpn. Ltd.,Financial,2.5
axis-focused-25-fund-direct-growth,Reliance Industries Ltd.,Energy,8.7
axis-focused-25-fund-direct-growth,ICICI Bank Ltd.,Financial,7.8
axis-focused-25-fund-direct-growth,Infosys Ltd.,Technology,6.2
axis-focused-25-fund-direct-growth,Axis Bank Ltd.,Financial,3.8
axis-focused-25-fund-direct-growth,Divi's Laboratories Ltd.,Healthcare,3.6
axis-focused-25-fund-direct-growth,Tata Consultancy Services Ltd.,Technology,3.0
axis-focused-25-fund-direct-growth,Bajaj Finance Ltd.,Financial,2.9
axis-focused-25-fund-direct-growth,Indusind Bank Ltd.,Financial,2.8
axis-focused-25-fund-direct-growth,Tata Steel Ltd.,Metals & Mining,2.6
axis-focused-25-fund-direct-growth,Housing Development Finance Corpn. Ltd.,Financial,2.5
idfc-equity-fund-direct-growth,Reliance Industries Ltd.,Energy,8.7
idfc-equity-fund-direct-growth,ICICI Bank Ltd.,Financial,7.8
idfc-equity-fund-direct-growth,Infosys Ltd.,Technology,6.2
idfc-equity-fund-direct-growth,Axis Bank Ltd.,Financial,3.8
idfc-equity-fund-direct-growth,Divi's Laboratories Ltd.,Healthcare,3.6
idfc-equity-fund-direct-growth,Tata Consultancy Services Ltd.,Technology,3.0
idfc-equity-fund-direct-growth,Bajaj Finance Ltd.,Financial,2.9
idfc-equity-fund-direct-growth,Indusind Bank Ltd.,Financial,2.8
idfc-equity-fund-direct-growth,Tata Steel Ltd.,Metals & Mining,2.6
idfc-equity-fund-direct-growth,Housing Development Finance Corpn. Ltd.,Financial,2.5
indiabulls-value-discovery-fund-direct-growth,Reliance Industries Ltd.,Energy,8.7
indiabulls-value-discovery-fund-direct-growth,ICICI Bank Ltd.,Financial,7.8
indiabulls-value-discovery-fund-direct-growth,Infosys Ltd.,Technology,6.2
indiabulls-value-discovery-fund-direct-growth,Axis Bank Ltd.,Financial,3.8
indiabulls-value-discovery-fund-direct-growth,Divi's Laboratories Ltd.,Healthcare,3.6
indiabulls-value-discovery-fund-direct-growth,Tata Consultancy Services Ltd.,Technology,3.0
indiabulls-value-discovery-fund-direct-growth,Bajaj Finance Ltd.,Financial,2.9
indiabulls-value-discovery-fund-direct-growth,Indusind Bank Ltd.,Financial,2.8
indiabulls-value-discovery-fund-direct-growth,Tata Steel Ltd.,Metals & Mining,2.6
indiabulls-value-discovery-fund-direct-growth,Housing Development Finance Corpn. Ltd.,Financial,2.5
sbi-magnum-equity-fund-direct-growth,Reliance Industries Ltd.,Energy,8.7
sbi-magnum-equity-fund-direct-growth,ICICI Bank Ltd.,Financial,7.8
sbi-magnum-equity-fund-direct-growth,Infosys Ltd.,Technology,6.2
sbi-magnum-equity-fund-direct-growth,Axis Bank Ltd.,Financial,3.8
sbi-magnum-equity-fund-direct-growth,Divi's Laboratories Ltd.,Healthcare,3.6
sbi-magnum-equity-fund-direct-growth,Tata Consultancy Services Ltd.,Technology,3.0
sbi-magnum-equity-fund-direct-growth,Bajaj Finance Ltd.,Financial,2.9
sbi-magnum-equity-fund-direct-growth,Indusind Bank Ltd.,Financial,2.8
sbi-magnum-equity-fund-direct-growth,Tata Steel Ltd.,Metals & Mining,2.6
sbi-magnum-equity-fund-direct-growth,Housing Development Finance Corpn. Ltd.,Financial,2.5
franklin-india-taxshield-direct-growth,Reliance Industries Ltd.,Energy,8.7
franklin-india-taxshield-direct-growth,ICICI Bank Ltd.,Financial,7.8
franklin-india-taxshield-direct-growth,Infosys Ltd.,Technology,6.2
franklin-india-taxshield-direct-growth,Axis Bank Ltd.,Financial,3.8
franklin-india-taxshield-direct-growth,Divi's Laboratories Ltd.,Healthcare,3.6
franklin-india-taxshield-direct-growth,Tata Consultancy Services Ltd.,Technology,3.0
franklin-india-taxshield-direct-growth,Bajaj Finance Ltd.,Financial,2.9
franklin-india-taxshield-direct-growth,Indusind Bank Ltd.,Financial,2.8
franklin-india-taxshield-direct-growth,Tata Steel Ltd.,Metals & Mining,2.6
franklin-india-taxshield-direct-growth,Housing Development Finance Corpn. Ltd.,Financial,2.5
icici-prudential-multicap-fund-direct-growth,Reliance Industries Ltd.,Energy,8.7
icici-prudential-multicap-fund-direct-growth,ICICI Bank Ltd.,Financial,7.8
icici-prudential-multicap-fund-direct-growth,Infosys Ltd.,Technology,6.2
icici-prudential-multicap-fund-direct-growth,Axis Bank Ltd.,Financial,3.8
icici-prudential-multicap-fund-direct-growth,Divi's Laboratories Ltd.,Healthcare,3.6
icici-prudential-multicap-fund-direct-growth,Tata Consultancy Services Ltd.,Technology,3.0
icici-prudential-multicap-fund-direct-growth,Bajaj Finance Ltd.,Financial,2.9
icici-prudential-multicap-fund-direct-growth,Indusind Bank Ltd.,Financial,2.8
icici-prudential-multicap-fund-direct-growth,Tata Steel Ltd.,Metals & Mining,2.6
icici-prudential-multicap-fund-direct-growth,Housing Development Finance Corpn. Ltd.,Financial,2.5
axis-equity-fund-direct-growth,Reliance Industries Ltd.,Energy,8.7
axis-equity-fund-direct-growth,ICICI Bank Ltd.,Financial,7.8
axis-equity-fund-direct-growth,Infosys Ltd.,Technology,6.2
axis-equity-fund-direct-growth,Axis Bank Ltd.,Financial,3.8
axis-equity-fund-direct-growth,Divi's Laboratories Ltd.,Healthcare,3.6
axis-equity-fund-direct-growth,Tata Consultancy Services Ltd.,Technology,3.0
axis-equity-fund-direct-growth,Bajaj Finance Ltd.,Financial,2.9
axis-equity-fund-direct-growth,Indusind Bank Ltd.,Financial,2.8
axis-equity-fund-direct-growth,Tata Steel Ltd.,Metals & Mining,2.6
axis-equity-fund-direct-growth,Housing Development Finance Corpn. Ltd.,Financial,2.5
lic-mf-growth-fund-direct-growth,Reliance Industries Ltd.,Energy,8.7
lic-mf-growth-fund-direct-growth,ICICI Bank Ltd.,Financial,7.8
lic-mf-growth-fund-direct-growth,Infosys Ltd.,Technology,6.2
lic-mf-growth-fund-direct-growth,Axis Bank Ltd.,Financial,3.8
lic-mf-growth-fund-direct-growth,Divi's Laboratories Ltd.,Healthcare,3.6
lic-mf-growth-fund-direct-growth,Tata Consultancy Services Ltd.,Technology,3.0
lic-mf-growth-fund-direct-growth,Bajaj Finance Ltd.,Financial,2.9
lic-mf-growth-fund-direct-growth,Indusind Bank Ltd.,Financial,2.8
lic-mf-growth-fund-direct-growth,Tata Steel Ltd.,Metals & Mining,2.6
lic-mf-growth-fund-direct-growth,Housing Development Finance Corpn. Ltd.,Financial,2.5
l-t-business-cycles-fund-direct-growth,Reliance Industries Ltd.,Energy,8.7
l-t-business-cycles-fund-direct-growth,ICICI Bank Ltd.,Financial,7.8
l-t-business-cycles-fund-direct-growth,Infosys Ltd.,Technology,6.2
l-t-business-cycles-fund-direct-growth,Axis Bank Ltd.,Financial,3.8
l-t-business-cycles-fund-direct-growth,Divi's Laboratories Ltd.,Healthcare,3.6
l-t-business-cycles-fund-direct-growth,Tata Consultancy Services Ltd.,Technology,3.0
l-t-business-cycles-fund-direct-growth,Bajaj Finance Ltd.,Financial,2.9
l-t-business-cycles-fund-direct-growth,Indusind Bank Ltd.,Financial,2.8
l-t-business-cycles-fund-direct-growth,Tata Steel Ltd.,Metals & Mining,2.6
l-t-business-cycles-fund-direct-growth,Housing Development Finance Corpn. Ltd.,Financial,2.5
motilal-oswal-most-focused-long-term-fund-direct-growth,Reliance Industries Ltd.,Energy,8.7
motilal-oswal-most-focused-long-term-fund-direct-growth,ICICI Bank Ltd.,Financial,7.8
motilal-oswal-most-focused-long-term-fund-direct-growth,Infosys Ltd.,Technology,6.2
motilal-oswal-most-focused-long-term-fund-direct-growth,Axis Bank Ltd.,Financial,3.8
motilal-oswal-most-focused-long-term-fund-direct-growth,Divi's Laboratories Ltd.,Healthcare,3.6
motilal-oswal-most-focused-long-term-fund-direct-growth,Tata Consultancy Services Ltd.,Technology,3.0
motilal-oswal-most-focused-long-term-fund-direct-growth,Bajaj Finance Ltd.,Financial,2.9
motilal-oswal-most-focused-long-term-fund-direct-growth,Indusind Bank Ltd.,Financial,2.8
motilal-oswal-most-focused-long-term-fund-direct-growth,Tata Steel Ltd.,Metals & Mining,2.6
motilal-oswal-most-focused-long-term-fund-direct-growth,Housing Development Finance Corpn. Ltd.,Financial,2.5
birla-sun-life-commodity-equities-fund-ga-direct-growth,Nutrien Ltd.,Chemicals,10.0
birla-sun-life-commodity-equities-fund-ga-direct-growth,CF Industries Holdings Inc (US),Chemicals,9.3
birla-sun-life-commodity-equities-fund-ga-direct-growth,Israel Chemicals (Foreign),Chemicals,7.4
birla-sun-life-commodity-equities-fund-ga-direct-growth,Bunge Ltd. (US),Consumer Staples,7.4
birla-sun-life-commodity-equities-fund-ga-direct-growth,Archer Daniels Midland Co. Ltd. (Chicago),Consumer Staples,7.4
birla-sun-life-commodity-equities-fund-ga-direct-growth,Mosaic Company Ltd.,Chemicals,7.2
birla-sun-life-commodity-equities-fund-ga-direct-growth,Deere & Company Ltd. (USA),Automobile,5.6
birla-sun-life-commodity-equities-fund-ga-direct-growth,Sociedad Quimica y Minera de Chile SA,Chemicals,4.5
birla-sun-life-commodity-equities-fund-ga-direct-growth,Tyson Foods,Consumer Staples,4.4
birla-sun-life-commodity-equities-fund-ga-direct-growth,Ingredion INC (USA),Consumer Staples,4.3
sundaram-bluechip-fund-direct-growth,Nutrien Ltd.,Chemicals,10.0
sundaram-bluechip-fund-direct-growth,CF Industries Holdings Inc (US),Chemicals,9.3
sundaram-bluechip-fund-direct-growth,Israel Chemicals (Foreign),Chemicals,7.4
sundaram-bluechip-fund-direct-growth,Bunge Ltd. (US),Consumer Staples,7.4
sundaram-bluechip-fund-direct-growth,Archer Daniels Midland Co. Ltd. (Chicago),Consumer Staples,7.4
sundaram-bluechip-fund-direct-growth,Mosaic Company Ltd.,Chemicals,7.2
sundaram-bluechip-fund-direct-growth,Deere & Company Ltd. (USA),Automobile,5.6
sundaram-bluechip-fund-direct-growth,Sociedad Quimica y Minera de Chile SA,Chemicals,4.5
sundaram-bluechip-fund-direct-growth,Tyson Foods,Consumer Staples,4.4
sundaram-bluechip-fund-direct-growth,Ingredion INC (USA),Consumer Staples,4.3
lic-mf-tax-plan-direct-growth,Nutrien Ltd.,Chemicals,10.0
lic-mf-tax-plan-direct-growth,CF Industries Holdings Inc (US),Chemicals,9.3
lic-mf-tax-plan-direct-growth,Israel Chemicals (Foreign),Chemicals,7.4
lic-mf-tax-plan-direct-growth,Bunge Ltd. (US),Consumer Staples,7.4
lic-mf-tax-plan-direct-growth,Archer Daniels Midland Co. Ltd. (Chicago),Consumer Staples,7.4
lic-mf-tax-plan-direct-growth,Mosaic Company Ltd.,Chemicals,7.2
lic-mf-tax-plan-direct-growth,Deere & Company Ltd. (USA),Automobile,5.6
lic-mf-tax-plan-direct-growth,Sociedad Quimica y Minera de Chile SA,Chemicals,4.5
lic-mf-tax-plan-direct-growth,Tyson Foods,Consumer Staples,4.4
lic-mf-tax-plan-direct-growth,Ingredion INC (USA),Consumer Staples,4.3
birla-sun-life-frontline-equity-fund-direct-growth,Nutrien Ltd.,Chemicals,10.0
birla-sun-life-frontline-equity-fund-direct-growth,CF Industries Holdings Inc (US),Chemicals,9.3
birla-sun-life-frontline-equity-fund-direct-growth,Israel Chemicals (Foreign),Chemicals,7.4
birla-sun-life-frontline-equity-fund-direct-growth,Bunge Ltd. (US),Consumer Staples,7.4
birla-sun-life-frontline-equity-fund-direct-growth,Archer Daniels Midland Co. Ltd. (Chicago),Consumer Staples,7.4
birla-sun-life-frontline-equity-fund-direct-growth,Mosaic Company Ltd.,Chemicals,7.2
birla-sun-life-frontline-equity-fund-direct-growth,Deere & Company Ltd. (USA),Automobile,5.6
birla-sun-life-frontline-equity-fund-direct-growth,Sociedad Quimica y Minera de Chile SA,Chemicals,4.5
birla-sun-life-frontline-equity-fund-direct-growth,Tyson Foods,Consumer Staples,4.4
birla-sun-life-frontline-equity-fund-direct-growth,Ingredion INC (USA),Consumer Staples,4.3
l-t-focused-equity-fund-direct-growth,Nutrien Ltd.,Chemicals,10.0
l-t-focused-equity-fund-direct-growth,CF Industries Holdings Inc (US),Chemicals,9.3
l-t-focused-equity-fund-direct-growth,Israel Chemicals (Foreign),Chemicals,7.4
l-t-focused-equity-fund-direct-growth,Bunge Ltd. (US),Consumer Staples,7.4
l-t-focused-equity-fund-direct-growth,Archer Daniels Midland Co. Ltd. (Chicago),Consumer Staples,7.4
l-t-focused-equity-fund-direct-growth,Mosaic Company Ltd.,Chemicals,7.2
l-t-focused-equity-fund-direct-growth,Deere & Company Ltd. (USA),Automobile,5.6
l-t-focused-equity-fund-direct-growth,Sociedad Quimica y Minera de Chile SA,Chemicals,4.5
l-t-focused-equity-fund-direct-growth,Tyson Foods,Consumer Staples,4.4
l-t-focused-equity-fund-direct-growth,Ingredion INC (USA),Consumer Staples,4.3
union-focussed-largecap-fund-direct-growth,Nutrien Ltd.,Chemicals,10.0
union-focussed-largecap-fund-direct-growth,CF Industries Holdings Inc (US),Chemicals,9.3
union-focussed-largecap-fund-direct-growth,Israel Chemicals (Foreign),Chemicals,7.4
union-focussed-largecap-fund-direct-growth,Bunge Ltd. (US),Consumer Staples,7.4
union-focussed-largecap-fund-direct-growth,Archer Daniels Midland Co. Ltd. (Chicago),Consumer Staples,7.4
union-focussed-largecap-fund-direct-growth,Mosaic Company Ltd.,Chemicals,7.2
union-focussed-largecap-fund-direct-growth,Deere & Company Ltd. (USA),Automobile,5.6
union-focussed-largecap-fund-direct-growth,Sociedad Quimica y Minera de Chile SA,Chemicals,4.5
union-focussed-largecap-fund-direct-growth,Tyson Foods,Consumer Staples,4.4
union-focussed-largecap-fund-direct-growth,Ingredion INC (USA),Consumer Staples,4.3
franklin-india-bluechip-direct-growth,Nutrien Ltd.,Chemicals,10.0
franklin-india-bluechip-direct-growth,CF Industries Holdings Inc (US),Chemicals,9.3
franklin-india-bluechip-direct-growth,Israel Chemicals (Foreign),Chemicals,7.4
franklin-india-bluechip-direct-growth,Bunge Ltd. (US),Consumer Staples,7.4
franklin-india-bluechip-direct-growth,Archer Daniels Midland Co. Ltd. (Chicago),Consumer Staples,7.4
franklin-india-bluechip-direct-growth,Mosaic Company Ltd.,Chemicals,7.2
franklin-india-bluechip-direct-growth,Deere & Company Ltd. (USA),Automobile,5.6
franklin-india-bluechip-direct-growth,Sociedad Quimica y Minera de Chile SA,Chemicals,4.5
franklin-india-bluechip-direct-growth,Tyson Foods,Consumer Staples,4.4
franklin-india-bluechip-direct-growth,Ingredion INC (USA),Consumer Staples,4.3
l-t-india-special-situations-fund-direct-growth,Nutrien Ltd.,Chemicals,10.0
l-t-india-special-situations-fund-direct-growth,CF Industries Holdings Inc (US),Chemicals,9.3
l-t-india-special-situations-fund-direct-growth,Israel Chemicals (Foreign),Chemicals,7.4
l-t-india-special-situations-fund-direct-growth,Bunge Ltd. (US),Consumer Staples,7.4
l-t-india-special-situations-fund-direct-growth,Archer Daniels Midland Co. Ltd. (Chicago),Consumer Staples,7.4
l-t-india-special-situations-fund-direct-growth,Mosaic Company Ltd.,Chemicals,7.2
l-t-india-special-situations-fund-direct-growth,Deere & Company Ltd. (USA),Automobile,5.6
l-t-india-special-situations-fund-direct-growth,Sociedad Quimica y Minera de Chile SA,Chemicals,4.5
l-t-india-special-situations-fund-direct-growth,Tyson Foods,Consumer Staples,4.4
l-t-india-special-situations-fund-direct-growth,Ingredion INC (USA),Consumer Staples,4.3
tata-large-cap-fund-direct-growth,Nutrien Ltd.,Chemicals,10.0
tata-large-cap-fund-direct-growth,CF Industries Holdings Inc (US),Chemicals,9.3
tata-large-cap-fund-direct-growth,Israel Chemicals (Foreign),Chemicals,7.4
tata-large-cap-fund-direct-growth,Bunge Ltd. (US),Consumer Staples,7.4
tata-large-cap-fund-direct-growth,Archer Daniels Midland Co. Ltd. (Chicago),Consumer Staples,7.4
