Fund-name,invested-firm,industry,percentage
tata-small-cap-fund-direct-growth,Hindustan Copper Ltd.,Metals & Mining,2.5
tata-small-cap-fund-direct-growth,TV18 Broadcast Ltd.,Services,2.3
quant-absolute-fund-direct-growth,ITC Ltd.,Consumer Staples,7.4
quant-absolute-fund-direct-growth,RBL Bank Ltd.,Financial,6.0
quant-absolute-fund-direct-growth,Punjab National Bank,Financial,5.9
quant-absolute-fund-direct-growth,Jindal Stainless Ltd.,Metals & Mining,5.9
quant-absolute-fund-direct-growth,IRB Infrastructure Developers Ltd.,Construction,5.7
quant-absolute-fund-direct-growth,Bikaji Foods International Ltd.,Consumer Staples,4.2
quant-absolute-fund-direct-growth,HFCL Ltd.,Communication,3.3
quant-absolute-fund-direct-growth,The India Cements Ltd.,Construction,2.7
quant-absolute-fund-direct-growth,Hindustan Copper Ltd.,Metals & Mining,2.5
quant-absolute-fund-direct-growth,TV18 Broadcast Ltd.,Services,2.3
edelweiss-small-cap-fund-direct-growth,Westlife Foodworld Ltd,Services,3.4
edelweiss-small-cap-fund-direct-growth,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,3.2
edelweiss-small-cap-fund-direct-growth,Kei Industries Ltd.,Capital Goods,2.6
edelweiss-small-cap-fund-direct-growth,The Federal Bank Ltd.,Financial,2.2
edelweiss-small-cap-fund-direct-growth,City Union Bank Ltd.,Financial,2.2
edelweiss-small-cap-fund-direct-growth,V-Mart Retail Ltd.,Services,2.2
edelweiss-small-cap-fund-direct-growth,Persistent Systems Ltd.,Technology,2.0
edelweiss-small-cap-fund-direct-growth,JK Lakshmi Cement Ltd.,Construction,2.0
edelweiss-small-cap-fund-direct-growth,Max Healthcare Institute Ltd.,Healthcare,2.0
edelweiss-small-cap-fund-direct-growth,Can Fin Homes Ltd.,Financial,2.0
sbi-contra-fund-direct-growth,Westlife Foodworld Ltd,Services,3.4
sbi-contra-fund-direct-growth,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,3.2
sbi-contra-fund-direct-growth,Kei Industries Ltd.,Capital Goods,2.6
sbi-contra-fund-direct-growth,The Federal Bank Ltd.,Financial,2.2
sbi-contra-fund-direct-growth,City Union Bank Ltd.,Financial,2.2
sbi-contra-fund-direct-growth,V-Mart Retail Ltd.,Services,2.2
sbi-contra-fund-direct-growth,Persistent Systems Ltd.,Technology,2.0
sbi-contra-fund-direct-growth,JK Lakshmi Cement Ltd.,Construction,2.0
sbi-contra-fund-direct-growth,Max Healthcare Institute Ltd.,Healthcare,2.0
sbi-contra-fund-direct-growth,Can Fin Homes Ltd.,Financial,2.0
kotak-midcap-fund-direct-growth,Westlife Foodworld Ltd,Services,3.4
kotak-midcap-fund-direct-growth,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,3.2
kotak-midcap-fund-direct-growth,Kei Industries Ltd.,Capital Goods,2.6
kotak-midcap-fund-direct-growth,The Federal Bank Ltd.,Financial,2.2
kotak-midcap-fund-direct-growth,City Union Bank Ltd.,Financial,2.2
kotak-midcap-fund-direct-growth,V-Mart Retail Ltd.,Services,2.2
kotak-midcap-fund-direct-growth,Persistent Systems Ltd.,Technology,2.0
kotak-midcap-fund-direct-growth,JK Lakshmi Cement Ltd.,Construction,2.0
kotak-midcap-fund-direct-growth,Max Healthcare Institute Ltd.,Healthcare,2.0
kotak-midcap-fund-direct-growth,Can Fin Homes Ltd.,Financial,2.0
tata-digital-india-fund-direct-growth,Westlife Foodworld Ltd,Services,3.4
tata-digital-india-fund-direct-growth,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,3.2
tata-digital-india-fund-direct-growth,Kei Industries Ltd.,Capital Goods,2.6
tata-digital-india-fund-direct-growth,The Federal Bank Ltd.,Financial,2.2
tata-digital-india-fund-direct-growth,City Union Bank Ltd.,Financial,2.2
tata-digital-india-fund-direct-growth,V-Mart Retail Ltd.,Services,2.2
tata-digital-india-fund-direct-growth,Persistent Systems Ltd.,Technology,2.0
tata-digital-india-fund-direct-growth,JK Lakshmi Cement Ltd.,Construction,2.0
