Fund-name,invested-firm,industry,percentage
hsbc-tax-saver-equity-fund-direct-growth,Axis Bank Ltd.,Financial,4.6
hsbc-tax-saver-equity-fund-direct-growth,ICICI Bank Ltd.,Financial,3.9
hsbc-tax-saver-equity-fund-direct-growth,Ultratech Cement Ltd.,Construction,3.7
hsbc-tax-saver-equity-fund-direct-growth,State Bank of India,Financial,3.6
hsbc-tax-saver-equity-fund-direct-growth,Infosys Ltd.,Technology,3.6
hsbc-tax-saver-equity-fund-direct-growth,Reliance Industries Ltd.,Energy,3.6
hsbc-tax-saver-equity-fund-direct-growth,Larsen & Toubro Ltd.,Construction,3.4
hsbc-tax-saver-equity-fund-direct-growth,Balrampur Chini Mills Ltd.,Consumer Staples,3.2
hsbc-tax-saver-equity-fund-direct-growth,Bharat Forge Ltd.,Automobile,2.6
lic-mf-infrastructure-fund-direct-growth,HDFC Bank Ltd.,Financial,8.2
lic-mf-infrastructure-fund-direct-growth,Axis Bank Ltd.,Financial,4.6
lic-mf-infrastructure-fund-direct-growth,ICICI Bank Ltd.,Financial,3.9
lic-mf-infrastructure-fund-direct-growth,Ultratech Cement Ltd.,Construction,3.7
lic-mf-infrastructure-fund-direct-growth,State Bank of India,Financial,3.6
lic-mf-infrastructure-fund-direct-growth,Infosys Ltd.,Technology,3.6
lic-mf-infrastructure-fund-direct-growth,Reliance Industries Ltd.,Energy,3.6
lic-mf-infrastructure-fund-direct-growth,Larsen & Toubro Ltd.,Construction,3.4
lic-mf-infrastructure-fund-direct-growth,Balrampur Chini Mills Ltd.,Consumer Staples,3.2
lic-mf-infrastructure-fund-direct-growth,Bharat Forge Ltd.,Automobile,2.6
sbi-magnum-global-fund-94-direct-growth,HDFC Bank Ltd.,Financial,8.2
sbi-magnum-global-fund-94-direct-growth,Axis Bank Ltd.,Financial,4.6
sbi-magnum-global-fund-94-direct-growth,ICICI Bank Ltd.,Financial,3.9
sbi-magnum-global-fund-94-direct-growth,Ultratech Cement Ltd.,Construction,3.7
sbi-magnum-global-fund-94-direct-growth,State Bank of India,Financial,3.6
sbi-magnum-global-fund-94-direct-growth,Infosys Ltd.,Technology,3.6
sbi-magnum-global-fund-94-direct-growth,Reliance Industries Ltd.,Energy,3.6
sbi-magnum-global-fund-94-direct-growth,Larsen & Toubro Ltd.,Construction,3.4
sbi-magnum-global-fund-94-direct-growth,Balrampur Chini Mills Ltd.,Consumer Staples,3.2
sbi-magnum-global-fund-94-direct-growth,Bharat Forge Ltd.,Automobile,2.6
icici-prudential-focused-bluechip-equity-fund-direct-growth,HDFC Bank Ltd.,Financial,8.2
icici-prudential-focused-bluechip-equity-fund-direct-growth,Axis Bank Ltd.,Financial,4.6
icici-prudential-focused-bluechip-equity-fund-direct-growth,ICICI Bank Ltd.,Financial,3.9
icici-prudential-focused-bluechip-equity-fund-direct-growth,Ultratech Cement Ltd.,Construction,3.7
icici-prudential-focused-bluechip-equity-fund-direct-growth,State Bank of India,Financial,3.6
icici-prudential-focused-bluechip-equity-fund-direct-growth,Infosys Ltd.,Technology,3.6
icici-prudential-focused-bluechip-equity-fund-direct-growth,Reliance Industries Ltd.,Energy,3.6
icici-prudential-focused-bluechip-equity-fund-direct-growth,Larsen & Toubro Ltd.,Construction,3.4
icici-prudential-focused-bluechip-equity-fund-direct-growth,Balrampur Chini Mills Ltd.,Consumer Staples,3.2
icici-prudential-focused-bluechip-equity-fund-direct-growth,Bharat Forge Ltd.,Automobile,2.6
franklin-india-taxshield-direct-growth,HDFC Bank Ltd.,Financial,8.6
franklin-india-taxshield-direct-growth,ICICI Bank Ltd.,Financial,8.5
franklin-india-taxshield-direct-growth,Axis Bank Ltd.,Financial,6.9
franklin-india-taxshield-direct-growth,Infosys Ltd.,Technology,6.1
franklin-india-taxshield-direct-growth,Larsen & Toubro Ltd.,Construction,5.3
franklin-india-taxshield-direct-growth,Bharti Airtel Ltd.,Communication,5.1
franklin-india-taxshield-direct-growth,State Bank of India,Financial,3.8
franklin-india-taxshield-direct-growth,United Spirits Ltd.,Consumer Staples,2.9
franklin-india-taxshield-direct-growth,Grasim Industries Ltd.,Construction,2.8
franklin-india-taxshield-direct-growth,HCL Technologies Ltd.,Technology,2.8
birla-sun-life-mid-cap-fund-plan-a-direct-growth,HDFC Bank Ltd.,Financial,8.6
birla-sun-life-mid-cap-fund-plan-a-direct-growth,ICICI Bank Ltd.,Financial,8.5
birla-sun-life-mid-cap-fund-plan-a-direct-growth,Axis Bank Ltd.,Financial,6.9
birla-sun-life-mid-cap-fund-plan-a-direct-growth,Infosys Ltd.,Technology,6.1
birla-sun-life-mid-cap-fund-plan-a-direct-growth,Larsen & Toubro Ltd.,Construction,5.3
birla-sun-life-mid-cap-fund-plan-a-direct-growth,Bharti Airtel Ltd.,Communication,5.1
birla-sun-life-mid-cap-fund-plan-a-direct-growth,State Bank of India,Financial,3.8
birla-sun-life-mid-cap-fund-plan-a-direct-growth,United Spirits Ltd.,Consumer Staples,2.9
birla-sun-life-mid-cap-fund-plan-a-direct-growth,Grasim Industries Ltd.,Construction,2.8
birla-sun-life-mid-cap-fund-plan-a-direct-growth,HCL Technologies Ltd.,Technology,2.8
hdfc-infrastructure-fund-direct-growth,HDFC Bank Ltd.,Financial,8.6
hdfc-infrastructure-fund-direct-growth,ICICI Bank Ltd.,Financial,8.5
hdfc-infrastructure-fund-direct-growth,Axis Bank Ltd.,Financial,6.9
hdfc-infrastructure-fund-direct-growth,Infosys Ltd.,Technology,6.1
hdfc-infrastructure-fund-direct-growth,Larsen & Toubro Ltd.,Construction,5.3
hdfc-infrastructure-fund-direct-growth,Bharti Airtel Ltd.,Communication,5.1
hdfc-infrastructure-fund-direct-growth,State Bank of India,Financial,3.8
hdfc-infrastructure-fund-direct-growth,United Spirits Ltd.,Consumer Staples,2.9
hdfc-infrastructure-fund-direct-growth,Grasim Industries Ltd.,Construction,2.8
hdfc-infrastructure-fund-direct-growth,HCL Technologies Ltd.,Technology,2.8
birla-sun-life-pure-value-fund-direct-growth,HDFC Bank Ltd.,Financial,8.6
birla-sun-life-pure-value-fund-direct-growth,ICICI Bank Ltd.,Financial,8.5
birla-sun-life-pure-value-fund-direct-growth,Axis Bank Ltd.,Financial,6.9
birla-sun-life-pure-value-fund-direct-growth,Infosys Ltd.,Technology,6.1
birla-sun-life-pure-value-fund-direct-growth,Larsen & Toubro Ltd.,Construction,5.3
birla-sun-life-pure-value-fund-direct-growth,Bharti Airtel Ltd.,Communication,5.1
birla-sun-life-pure-value-fund-direct-growth,State Bank of India,Financial,3.8
birla-sun-life-pure-value-fund-direct-growth,United Spirits Ltd.,Consumer Staples,2.9
birla-sun-life-pure-value-fund-direct-growth,Grasim Industries Ltd.,Construction,2.8
birla-sun-life-pure-value-fund-direct-growth,HCL Technologies Ltd.,Technology,2.8
canara-robeco-large-cap-fund-direct-growth,HDFC Bank Ltd.,Financial,8.6
canara-robeco-large-cap-fund-direct-growth,ICICI Bank Ltd.,Financial,8.5
canara-robeco-large-cap-fund-direct-growth,Axis Bank Ltd.,Financial,6.9
canara-robeco-large-cap-fund-direct-growth,Infosys Ltd.,Technology,6.1
canara-robeco-large-cap-fund-direct-growth,Larsen & Toubro Ltd.,Construction,5.3
canara-robeco-large-cap-fund-direct-growth,Bharti Airtel Ltd.,Communication,5.1
canara-robeco-large-cap-fund-direct-growth,State Bank of India,Financial,3.8
canara-robeco-large-cap-fund-direct-growth,United Spirits Ltd.,Consumer Staples,2.9
canara-robeco-large-cap-fund-direct-growth,Grasim Industries Ltd.,Construction,2.8
canara-robeco-large-cap-fund-direct-growth,HCL Technologies Ltd.,Technology,2.8
uti-dividend-yield-fund-direct-growth,HDFC Bank Ltd.,Financial,8.6
uti-dividend-yield-fund-direct-growth,ICICI Bank Ltd.,Financial,8.5
uti-dividend-yield-fund-direct-growth,Axis Bank Ltd.,Financial,6.9
uti-dividend-yield-fund-direct-growth,Infosys Ltd.,Technology,6.1
uti-dividend-yield-fund-direct-growth,Larsen & Toubro Ltd.,Construction,5.3
uti-dividend-yield-fund-direct-growth,Bharti Airtel Ltd.,Communication,5.1
uti-dividend-yield-fund-direct-growth,State Bank of India,Financial,3.8
uti-dividend-yield-fund-direct-growth,United Spirits Ltd.,Consumer Staples,2.9
uti-dividend-yield-fund-direct-growth,Grasim Industries Ltd.,Construction,2.8
uti-dividend-yield-fund-direct-growth,HCL Technologies Ltd.,Technology,2.8
tata-india-tax-savings-fund-direct-growth,HDFC Bank Ltd.,Financial,8.6
tata-india-tax-savings-fund-direct-growth,ICICI Bank Ltd.,Financial,8.5
tata-india-tax-savings-fund-direct-growth,Axis Bank Ltd.,Financial,6.9
tata-india-tax-savings-fund-direct-growth,Infosys Ltd.,Technology,6.1
tata-india-tax-savings-fund-direct-growth,Larsen & Toubro Ltd.,Construction,5.3
tata-india-tax-savings-fund-direct-growth,Bharti Airtel Ltd.,Communication,5.1
tata-india-tax-savings-fund-direct-growth,State Bank of India,Financial,3.8
tata-india-tax-savings-fund-direct-growth,United Spirits Ltd.,Consumer Staples,2.9
tata-india-tax-savings-fund-direct-growth,Grasim Industries Ltd.,Construction,2.8
tata-india-tax-savings-fund-direct-growth,HCL Technologies Ltd.,Technology,2.8
edelweiss-prudent-advantage-fund-direct-growth,HDFC Bank Ltd.,Financial,8.6
edelweiss-prudent-advantage-fund-direct-growth,ICICI Bank Ltd.,Financial,8.5
edelweiss-prudent-advantage-fund-direct-growth,Axis Bank Ltd.,Financial,6.9
edelweiss-prudent-advantage-fund-direct-growth,Infosys Ltd.,Technology,6.1
edelweiss-prudent-advantage-fund-direct-growth,Larsen & Toubro Ltd.,Construction,5.3
edelweiss-prudent-advantage-fund-direct-growth,Bharti Airtel Ltd.,Communication,5.1
edelweiss-prudent-advantage-fund-direct-growth,State Bank of India,Financial,3.8
edelweiss-prudent-advantage-fund-direct-growth,United Spirits Ltd.,Consumer Staples,2.9
edelweiss-prudent-advantage-fund-direct-growth,Grasim Industries Ltd.,Construction,2.8
edelweiss-prudent-advantage-fund-direct-growth,HCL Technologies Ltd.,Technology,2.8
dsp-blackrock-opportunities-fund-direct-growth,HDFC Bank Ltd.,Financial,8.6
dsp-blackrock-opportunities-fund-direct-growth,ICICI Bank Ltd.,Financial,8.5
dsp-blackrock-opportunities-fund-direct-growth,Axis Bank Ltd.,Financial,6.9
dsp-blackrock-opportunities-fund-direct-growth,Infosys Ltd.,Technology,6.1
dsp-blackrock-opportunities-fund-direct-growth,Larsen & Toubro Ltd.,Construction,5.3
dsp-blackrock-opportunities-fund-direct-growth,Bharti Airtel Ltd.,Communication,5.1
dsp-blackrock-opportunities-fund-direct-growth,State Bank of India,Financial,3.8
dsp-blackrock-opportunities-fund-direct-growth,United Spirits Ltd.,Consumer Staples,2.9
dsp-blackrock-opportunities-fund-direct-growth,Grasim Industries Ltd.,Construction,2.8
dsp-blackrock-opportunities-fund-direct-growth,HCL Technologies Ltd.,Technology,2.8
nippon-india-large-cap-fund-direct-growth,HDFC Bank Ltd.,Financial,8.6
nippon-india-large-cap-fund-direct-growth,ICICI Bank Ltd.,Financial,8.5
nippon-india-large-cap-fund-direct-growth,Axis Bank Ltd.,Financial,6.9
nippon-india-large-cap-fund-direct-growth,Infosys Ltd.,Technology,6.1
nippon-india-large-cap-fund-direct-growth,Larsen & Toubro Ltd.,Construction,5.3
nippon-india-large-cap-fund-direct-growth,Bharti Airtel Ltd.,Communication,5.1
nippon-india-large-cap-fund-direct-growth,State Bank of India,Financial,3.8
nippon-india-large-cap-fund-direct-growth,United Spirits Ltd.,Consumer Staples,2.9
nippon-india-large-cap-fund-direct-growth,Grasim Industries Ltd.,Construction,2.8
nippon-india-large-cap-fund-direct-growth,HCL Technologies Ltd.,Technology,2.8
idbi-midcap-fund-direct-growth,HDFC Bank Ltd.,Financial,8.6
idbi-midcap-fund-direct-growth,ICICI Bank Ltd.,Financial,8.5
idbi-midcap-fund-direct-growth,Axis Bank Ltd.,Financial,6.9
idbi-midcap-fund-direct-growth,Infosys Ltd.,Technology,6.1
idbi-midcap-fund-direct-growth,Larsen & Toubro Ltd.,Construction,5.3
idbi-midcap-fund-direct-growth,Bharti Airtel Ltd.,Communication,5.1
idbi-midcap-fund-direct-growth,State Bank of India,Financial,3.8
idbi-midcap-fund-direct-growth,United Spirits Ltd.,Consumer Staples,2.9
idbi-midcap-fund-direct-growth,Grasim Industries Ltd.,Construction,2.8
idbi-midcap-fund-direct-growth,HCL Technologies Ltd.,Technology,2.8
sbi-psu-fund-direct-growth,HDFC Bank Ltd.,Financial,8.6
sbi-psu-fund-direct-growth,ICICI Bank Ltd.,Financial,8.5
sbi-psu-fund-direct-growth,Axis Bank Ltd.,Financial,6.9
sbi-psu-fund-direct-growth,Infosys Ltd.,Technology,6.1
sbi-psu-fund-direct-growth,Larsen & Toubro Ltd.,Construction,5.3
sbi-psu-fund-direct-growth,Bharti Airtel Ltd.,Communication,5.1
sbi-psu-fund-direct-growth,State Bank of India,Financial,3.8
sbi-psu-fund-direct-growth,United Spirits Ltd.,Consumer Staples,2.9
sbi-psu-fund-direct-growth,Grasim Industries Ltd.,Construction,2.8
sbi-psu-fund-direct-growth,HCL Technologies Ltd.,Technology,2.8
uti-balanced-fund-direct-growth,HDFC Bank Ltd.,Financial,8.6
uti-balanced-fund-direct-growth,ICICI Bank Ltd.,Financial,8.5
uti-balanced-fund-direct-growth,Axis Bank Ltd.,Financial,6.9
uti-balanced-fund-direct-growth,Infosys Ltd.,Technology,6.1
uti-balanced-fund-direct-growth,Larsen & Toubro Ltd.,Construction,5.3
uti-balanced-fund-direct-growth,Bharti Airtel Ltd.,Communication,5.1
uti-balanced-fund-direct-growth,State Bank of India,Financial,3.8
uti-balanced-fund-direct-growth,United Spirits Ltd.,Consumer Staples,2.9
uti-balanced-fund-direct-growth,Grasim Industries Ltd.,Construction,2.8
uti-balanced-fund-direct-growth,HCL Technologies Ltd.,Technology,2.8
sundaram-smart-nifty-100-equal-weight-fund-direct-growth,HDFC Bank Ltd.,Financial,8.6
sundaram-smart-nifty-100-equal-weight-fund-direct-growth,ICICI Bank Ltd.,Financial,8.5
sundaram-smart-nifty-100-equal-weight-fund-direct-growth,Axis Bank Ltd.,Financial,6.9
sundaram-smart-nifty-100-equal-weight-fund-direct-growth,Infosys Ltd.,Technology,6.1
sundaram-smart-nifty-100-equal-weight-fund-direct-growth,Larsen & Toubro Ltd.,Construction,5.3
sundaram-smart-nifty-100-equal-weight-fund-direct-growth,Bharti Airtel Ltd.,Communication,5.1
sundaram-smart-nifty-100-equal-weight-fund-direct-growth,State Bank of India,Financial,3.8
sundaram-smart-nifty-100-equal-weight-fund-direct-growth,United Spirits Ltd.,Consumer Staples,2.9
sundaram-smart-nifty-100-equal-weight-fund-direct-growth,Grasim Industries Ltd.,Construction,2.8
sundaram-smart-nifty-100-equal-weight-fund-direct-growth,HCL Technologies Ltd.,Technology,2.8
hdfc-premier-multi-cap-fund-direct-growth,HDFC Bank Ltd.,Financial,8.6
hdfc-premier-multi-cap-fund-direct-growth,ICICI Bank Ltd.,Financial,8.5
hdfc-premier-multi-cap-fund-direct-growth,Axis Bank Ltd.,Financial,6.9
hdfc-premier-multi-cap-fund-direct-growth,Infosys Ltd.,Technology,6.1
hdfc-premier-multi-cap-fund-direct-growth,Larsen & Toubro Ltd.,Construction,5.3
hdfc-premier-multi-cap-fund-direct-growth,Bharti Airtel Ltd.,Communication,5.1
hdfc-premier-multi-cap-fund-direct-growth,State Bank of India,Financial,3.8
hdfc-premier-multi-cap-fund-direct-growth,United Spirits Ltd.,Consumer Staples,2.9
hdfc-premier-multi-cap-fund-direct-growth,Grasim Industries Ltd.,Construction,2.8
hdfc-premier-multi-cap-fund-direct-growth,HCL Technologies Ltd.,Technology,2.8
sundaram-select-midcap-direct-growth,The Federal Bank Ltd.,Financial,3.7
sundaram-select-midcap-direct-growth,Schaeffler India Ltd.,Capital Goods,3.4
sundaram-select-midcap-direct-growth,Bank Of Baroda,Financial,3.0
sundaram-select-midcap-direct-growth,Axis Bank Ltd.,Financial,2.9
sundaram-select-midcap-direct-growth,Shriram Finance Ltd,Financial,2.8
sundaram-select-midcap-direct-growth,Varun Beverages Ltd.,Consumer Staples,2.6
sundaram-select-midcap-direct-growth,Trent Ltd.,Services,2.4
sundaram-select-midcap-direct-growth,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,2.4
sundaram-select-midcap-direct-growth,Bharat Electronics Ltd.,Capital Goods,2.3
sundaram-select-midcap-direct-growth,AU Small Finance Bank Ltd.,Financial,2.3
kotak-focused-equity-fund-direct-growth,The Federal Bank Ltd.,Financial,3.7
kotak-focused-equity-fund-direct-growth,Schaeffler India Ltd.,Capital Goods,3.4
kotak-focused-equity-fund-direct-growth,Bank Of Baroda,Financial,3.0
kotak-focused-equity-fund-direct-growth,Axis Bank Ltd.,Financial,2.9
kotak-focused-equity-fund-direct-growth,Shriram Finance Ltd,Financial,2.8
kotak-focused-equity-fund-direct-growth,Varun Beverages Ltd.,Consumer Staples,2.6
kotak-focused-equity-fund-direct-growth,Trent Ltd.,Services,2.4
kotak-focused-equity-fund-direct-growth,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,2.4
kotak-focused-equity-fund-direct-growth,Bharat Electronics Ltd.,Capital Goods,2.3
kotak-focused-equity-fund-direct-growth,AU Small Finance Bank Ltd.,Financial,2.3
baroda-dynamic-equity-fund-direct-growth,The Federal Bank Ltd.,Financial,3.7
baroda-dynamic-equity-fund-direct-growth,Schaeffler India Ltd.,Capital Goods,3.4
baroda-dynamic-equity-fund-direct-growth,Bank Of Baroda,Financial,3.0
baroda-dynamic-equity-fund-direct-growth,Axis Bank Ltd.,Financial,2.9
baroda-dynamic-equity-fund-direct-growth,Shriram Finance Ltd,Financial,2.8
baroda-dynamic-equity-fund-direct-growth,Varun Beverages Ltd.,Consumer Staples,2.6
baroda-dynamic-equity-fund-direct-growth,Trent Ltd.,Services,2.4
baroda-dynamic-equity-fund-direct-growth,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,2.4
baroda-dynamic-equity-fund-direct-growth,Bharat Electronics Ltd.,Capital Goods,2.3
baroda-dynamic-equity-fund-direct-growth,AU Small Finance Bank Ltd.,Financial,2.3
hdfc-retirement-savings-fund-hybrid-equity-plan-direct-growth,The Federal Bank Ltd.,Financial,3.7
hdfc-retirement-savings-fund-hybrid-equity-plan-direct-growth,Schaeffler India Ltd.,Capital Goods,3.4
hdfc-retirement-savings-fund-hybrid-equity-plan-direct-growth,Bank Of Baroda,Financial,3.0
hdfc-retirement-savings-fund-hybrid-equity-plan-direct-growth,Axis Bank Ltd.,Financial,2.9
hdfc-retirement-savings-fund-hybrid-equity-plan-direct-growth,Shriram Finance Ltd,Financial,2.8
hdfc-retirement-savings-fund-hybrid-equity-plan-direct-growth,Varun Beverages Ltd.,Consumer Staples,2.6
hdfc-retirement-savings-fund-hybrid-equity-plan-direct-growth,Trent Ltd.,Services,2.4
hdfc-retirement-savings-fund-hybrid-equity-plan-direct-growth,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,2.4
hdfc-retirement-savings-fund-hybrid-equity-plan-direct-growth,Bharat Electronics Ltd.,Capital Goods,2.3
hdfc-retirement-savings-fund-hybrid-equity-plan-direct-growth,AU Small Finance Bank Ltd.,Financial,2.3
icici-prudential-multicap-fund-direct-growth,The Federal Bank Ltd.,Financial,3.7
icici-prudential-multicap-fund-direct-growth,Schaeffler India Ltd.,Capital Goods,3.4
icici-prudential-multicap-fund-direct-growth,Bank Of Baroda,Financial,3.0
icici-prudential-multicap-fund-direct-growth,Axis Bank Ltd.,Financial,2.9
icici-prudential-multicap-fund-direct-growth,Shriram Finance Ltd,Financial,2.8
icici-prudential-multicap-fund-direct-growth,Varun Beverages Ltd.,Consumer Staples,2.6
icici-prudential-multicap-fund-direct-growth,Trent Ltd.,Services,2.4
icici-prudential-multicap-fund-direct-growth,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,2.4
icici-prudential-multicap-fund-direct-growth,Bharat Electronics Ltd.,Capital Goods,2.3
icici-prudential-multicap-fund-direct-growth,AU Small Finance Bank Ltd.,Financial,2.3
mirae-asset-great-consumer-fund-direct-growth,The Federal Bank Ltd.,Financial,3.7
mirae-asset-great-consumer-fund-direct-growth,Schaeffler India Ltd.,Capital Goods,3.4
mirae-asset-great-consumer-fund-direct-growth,Bank Of Baroda,Financial,3.0
mirae-asset-great-consumer-fund-direct-growth,Axis Bank Ltd.,Financial,2.9
mirae-asset-great-consumer-fund-direct-growth,Shriram Finance Ltd,Financial,2.8
mirae-asset-great-consumer-fund-direct-growth,Varun Beverages Ltd.,Consumer Staples,2.6
mirae-asset-great-consumer-fund-direct-growth,Trent Ltd.,Services,2.4
mirae-asset-great-consumer-fund-direct-growth,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,2.4
mirae-asset-great-consumer-fund-direct-growth,Bharat Electronics Ltd.,Capital Goods,2.3
mirae-asset-great-consumer-fund-direct-growth,AU Small Finance Bank Ltd.,Financial,2.3
franklin-india-prima-fund-direct-growth,The Federal Bank Ltd.,Financial,3.7
franklin-india-prima-fund-direct-growth,Schaeffler India Ltd.,Capital Goods,3.4
franklin-india-prima-fund-direct-growth,Bank Of Baroda,Financial,3.0
franklin-india-prima-fund-direct-growth,Axis Bank Ltd.,Financial,2.9
franklin-india-prima-fund-direct-growth,Shriram Finance Ltd,Financial,2.8
franklin-india-prima-fund-direct-growth,Varun Beverages Ltd.,Consumer Staples,2.6
franklin-india-prima-fund-direct-growth,Trent Ltd.,Services,2.4
franklin-india-prima-fund-direct-growth,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,2.4
franklin-india-prima-fund-direct-growth,Bharat Electronics Ltd.,Capital Goods,2.3
franklin-india-prima-fund-direct-growth,AU Small Finance Bank Ltd.,Financial,2.3
baroda-bnp-paribas-india-consumption-fund-direct-growth,The Federal Bank Ltd.,Financial,3.7
baroda-bnp-paribas-india-consumption-fund-direct-growth,Schaeffler India Ltd.,Capital Goods,3.4
baroda-bnp-paribas-india-consumption-fund-direct-growth,Bank Of Baroda,Financial,3.0
baroda-bnp-paribas-india-consumption-fund-direct-growth,Axis Bank Ltd.,Financial,2.9
baroda-bnp-paribas-india-consumption-fund-direct-growth,Shriram Finance Ltd,Financial,2.8
baroda-bnp-paribas-india-consumption-fund-direct-growth,Varun Beverages Ltd.,Consumer Staples,2.6
baroda-bnp-paribas-india-consumption-fund-direct-growth,Trent Ltd.,Services,2.4
baroda-bnp-paribas-india-consumption-fund-direct-growth,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,2.4
baroda-bnp-paribas-india-consumption-fund-direct-growth,Bharat Electronics Ltd.,Capital Goods,2.3
baroda-bnp-paribas-india-consumption-fund-direct-growth,AU Small Finance Bank Ltd.,Financial,2.3
jm-tax-gain-fund-direct-growth,The Federal Bank Ltd.,Financial,3.7
jm-tax-gain-fund-direct-growth,Schaeffler India Ltd.,Capital Goods,3.4
jm-tax-gain-fund-direct-growth,Bank Of Baroda,Financial,3.0
jm-tax-gain-fund-direct-growth,Axis Bank Ltd.,Financial,2.9
jm-tax-gain-fund-direct-growth,Shriram Finance Ltd,Financial,2.8
jm-tax-gain-fund-direct-growth,Varun Beverages Ltd.,Consumer Staples,2.6
jm-tax-gain-fund-direct-growth,Trent Ltd.,Services,2.4
jm-tax-gain-fund-direct-growth,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,2.4
jm-tax-gain-fund-direct-growth,Bharat Electronics Ltd.,Capital Goods,2.3
jm-tax-gain-fund-direct-growth,AU Small Finance Bank Ltd.,Financial,2.3
motilal-oswal-nifty-500-fund-direct-growth,The Federal Bank Ltd.,Financial,3.7
motilal-oswal-nifty-500-fund-direct-growth,Schaeffler India Ltd.,Capital Goods,3.4
motilal-oswal-nifty-500-fund-direct-growth,Bank Of Baroda,Financial,3.0
motilal-oswal-nifty-500-fund-direct-growth,Axis Bank Ltd.,Financial,2.9
motilal-oswal-nifty-500-fund-direct-growth,Shriram Finance Ltd,Financial,2.8
motilal-oswal-nifty-500-fund-direct-growth,Varun Beverages Ltd.,Consumer Staples,2.6
motilal-oswal-nifty-500-fund-direct-growth,Trent Ltd.,Services,2.4
motilal-oswal-nifty-500-fund-direct-growth,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,2.4
motilal-oswal-nifty-500-fund-direct-growth,Bharat Electronics Ltd.,Capital Goods,2.3
motilal-oswal-nifty-500-fund-direct-growth,AU Small Finance Bank Ltd.,Financial,2.3
birla-sun-life-international-equity-fund-plan-b-direct-growth,The Federal Bank Ltd.,Financial,3.7
birla-sun-life-international-equity-fund-plan-b-direct-growth,Schaeffler India Ltd.,Capital Goods,3.4
birla-sun-life-international-equity-fund-plan-b-direct-growth,Bank Of Baroda,Financial,3.0
birla-sun-life-international-equity-fund-plan-b-direct-growth,Axis Bank Ltd.,Financial,2.9
birla-sun-life-international-equity-fund-plan-b-direct-growth,Shriram Finance Ltd,Financial,2.8
birla-sun-life-international-equity-fund-plan-b-direct-growth,Varun Beverages Ltd.,Consumer Staples,2.6
birla-sun-life-international-equity-fund-plan-b-direct-growth,Trent Ltd.,Services,2.4
birla-sun-life-international-equity-fund-plan-b-direct-growth,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,2.4
birla-sun-life-international-equity-fund-plan-b-direct-growth,Bharat Electronics Ltd.,Capital Goods,2.3
birla-sun-life-international-equity-fund-plan-b-direct-growth,AU Small Finance Bank Ltd.,Financial,2.3
quantum-india-esg-equity-fund-direct-growth,The Federal Bank Ltd.,Financial,3.7
quantum-india-esg-equity-fund-direct-growth,Schaeffler India Ltd.,Capital Goods,3.4
quantum-india-esg-equity-fund-direct-growth,Bank Of Baroda,Financial,3.0
quantum-india-esg-equity-fund-direct-growth,Axis Bank Ltd.,Financial,2.9
quantum-india-esg-equity-fund-direct-growth,Shriram Finance Ltd,Financial,2.8
quantum-india-esg-equity-fund-direct-growth,Varun Beverages Ltd.,Consumer Staples,2.6
quantum-india-esg-equity-fund-direct-growth,Trent Ltd.,Services,2.4
quantum-india-esg-equity-fund-direct-growth,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,2.4
quantum-india-esg-equity-fund-direct-growth,Bharat Electronics Ltd.,Capital Goods,2.3
quantum-india-esg-equity-fund-direct-growth,AU Small Finance Bank Ltd.,Financial,2.3
sbi-bluechip-fund-direct-growth,The Federal Bank Ltd.,Financial,3.7
sbi-bluechip-fund-direct-growth,Schaeffler India Ltd.,Capital Goods,3.4
sbi-bluechip-fund-direct-growth,Bank Of Baroda,Financial,3.0
sbi-bluechip-fund-direct-growth,Axis Bank Ltd.,Financial,2.9
sbi-bluechip-fund-direct-growth,Shriram Finance Ltd,Financial,2.8
sbi-bluechip-fund-direct-growth,Varun Beverages Ltd.,Consumer Staples,2.6
sbi-bluechip-fund-direct-growth,Trent Ltd.,Services,2.4
sbi-bluechip-fund-direct-growth,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,2.4
sbi-bluechip-fund-direct-growth,Bharat Electronics Ltd.,Capital Goods,2.3
sbi-bluechip-fund-direct-growth,AU Small Finance Bank Ltd.,Financial,2.3
jm-equity-direct-growth,The Federal Bank Ltd.,Financial,3.7
jm-equity-direct-growth,Schaeffler India Ltd.,Capital Goods,3.4
jm-equity-direct-growth,Bank Of Baroda,Financial,3.0
jm-equity-direct-growth,Axis Bank Ltd.,Financial,2.9
jm-equity-direct-growth,Shriram Finance Ltd,Financial,2.8
jm-equity-direct-growth,Varun Beverages Ltd.,Consumer Staples,2.6
jm-equity-direct-growth,Trent Ltd.,Services,2.4
